Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Light color (product.metafields.shopify.light-color),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
vara-spiritual-bracelet,Vara Spiritual Bracelet,"<p><strong>Product Introduction</strong><br>The Vara Series is a bracelet collection blending the energies of Amazonite and Smoky Quartz. It is crafted for the woman who remains composed amidst pressure and pivotal decisions. It is neither loud nor fragile; it is a presence of calm, unwavering certainty.<br></p>
<p><strong>Vara (The Guardian of Strength)</strong><br> Derived from the Sanskrit word Vara, meaning ""vow,"" ""strength,"" or ""protection.""<br> * In your brand’s ecosystem, Vara represents the Smoky Quartz collection, symbolizing stability, grounding, and self-protection.<br> * Steady as the earth, firm as the heart. Vara is a symbol of feminine power—maintaining one’s core and projecting a commanding aura in high-pressure environments.<br>Materials &amp; Benefits<br>Primary Stone | Amazonite<br> * Facilitates emotional flow and open communication.<br> * Relieves stress and balances internal fluctuations.<br> * Ignites self-expression, helping you speak with confidence.<br>Accent Stone | Smoky Quartz<br> * Aids in releasing negative energy and anxiety.<br> * Enhances the sense of grounding and stabilizes emotional foundations.<br> * Maintains clarity of judgment and a sense of reality in complex environments.</p>
<p><br><strong>Synergy Effect:</strong><br>The energetic core of this bracelet lies in ""stability through change."" Smoky Quartz provides the foundation and protection, while Amazonite drives expression and flow. When the soft energy of Amazonite meets the grounding force of Smoky Quartz, energy is guided and settled. It allows you to be composed while expressing yourself and solid while remaining fluid—a protective talisman for staying true to oneself and resisting external noise in both professional and daily life.<br>Ideal For<br> * Those Prone to Emotional Fluctuations: Helps anxious or overly rational individuals soften emotional barriers (Amazonite) while preventing emotional backlash (Smoky Quartz).<br> * Creative Professionals &amp; Managers: Amazonite sparks inspiration and communication efficiency, while Smoky Quartz aids sustained focus and prevents scattered thinking.<br> * Spiritual Practitioners: Used during meditation, Smoky Quartz assists in grounding while Amazonite helps open the Heart Chakra, deepening self-awareness.<br> * Socially Sensitive Individuals: When worn in social settings, Smoky Quartz blocks negative projections from others, while Amazonite promotes sincere interactions.<br>Wear &amp; Care Suggestions<br> * How to Wear: Wear on the left hand to absorb energy and enhance inner balance; wear on the right hand to release energy and aid in external expression.<br> * Layering with Other Crystals:<br>   * For enhanced protection: Pair with Obsidian.<br>   * For spiritual elevation: Pair with Amethyst or Blue Lace Agate.<br> * Cleansing Methods: Moonlight bathing (avoid direct sunlight), Sage smudging, or periodic burying in Sea Salt.</p>
<p><br><strong>Specifications &amp; Quote</strong><br> * Amazonite: 20mm diameter (1 bead)<br> * Smoky Quartz: 10mm diameter (10–12 beads)<br> * Includes: Accent beads, threading, and premium packaging.</p>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Bracelets,Bracelet,Bracelet,true,Title,Default Title,,,,,,,,,0.5,shopify,deny,manual,260.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Image_2026-01-11_110953_430.jpg?v=1768101045,1,"",false,,,191,,adult,,,,,,,,,,,adults,beaded,blue,,metal,imitation-jewelry,,,,,female,,,,,,g,,,true,,,true,,,true,,,active
minimalist-natural-pearl-pendant,Exquisite Minimalist Natural Pearl Pendant,"<p>The warm and dazzling luster of pearls is like the sunshine poured by the goddess of nature, complementing the wood grain craftsmanship, and the overall shape is elegant and generous.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Chain length: 17.95 inch (45CM) + 2.36 inch (6CM) extension</div>
</li>
<li>
<div class=""paragraph"">Pendant height: 0.787 inch (2CM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Necklaces,Necklace,"Necklace, pendant, pendants",true,Color,silver,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,90.30,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/23f80f6c-267f-44d1-80b5-3e8995f6f9ab.jpg?v=1742463430,1,"",false,,,196,,adult,,,,,,,,,,,adults,,silver; shopify--color-pattern-3e90y7ps,,sterling-silver; wood; pearl,fine-jewelry,,pendant,,,unisex,,,,,,g,,30.10,true,,,true,,,true,,,active
minimalist-natural-pearl-pendant,,,,,,,,,shopify--color-pattern-3e90y7ps,,,,,,,,"",0.0,shopify,continue,manual,90.30,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-20_17-30-49.jpg?v=1742463429,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,30.10,,,,,,,,,,
minimalist-natural-pearl-pendant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/bad79986-7b74-45ec-8699-5dd0cdf7bea5.jpg?v=1742463429,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-pendant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/1732aa7d-5f99-4c37-a14d-2229c4add33e.jpg?v=1742463429,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-and-enamel-pendant-necklace,Classic Enamel Pendant Pearl Necklace,"<p>The elegant white pearl necklace cleverly combines pearls with low-temperature enamel roses, showcasing the nobility and elegance of jewelry while incorporating artistic aesthetic taste. The rose pattern on the pendant is vivid and realistic, like a blooming rose, emitting a charming fragrance that is intoxicating.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Enamel</div>
</li>
<li>
<div class=""paragraph"">Chain length: 15.75 inch (40cm) + 2.36 inch (6cm) extension</div>
</li>
<li>
<div class=""paragraph"">Pendant height: 0.787 inch (2cm)</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.236 inch (6mm)</div>
</li>
<li>
<div class=""paragraph"">Enamel size:0.472 inch (12mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Necklaces,Necklace,"Necklace, pendant, pendants",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,83.70,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/0bbee50b-c792-4e77-8efa-03adc6a0ebbd.jpg?v=1742462955,1,"",false,,,196,,adult,,,,,,,,,,,adults,,floral,,sterling-silver; enamel; pearl,fine-jewelry,,pendant,,,female,,,,,,g,,27.90,true,,,true,,,true,,,active
minimalist-natural-pearl-and-enamel-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/64d0e12d-be7d-4fd4-844d-5926195d23d1.jpg?v=1742462955,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-and-enamel-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/247bfa10-1c92-4b7e-a677-0819e2db6b99.jpg?v=1742462955,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-and-enamel-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/e88c1bdc-dbd4-4119-937e-afdfd958c7ee.jpg?v=1742462955,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-textured-earrings,Vintage Textured Earrings,"<p><span>These vintage textured earrings are a perfect blend of classic elegance and contemporary style. Crafted with high-quality S925 sterling silver, they feature natural pearls, available in both white gold and vintage gold finishes, making them versatile accessories for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Available in white gold and vintage gold colors</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,49.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/57ec8f71-4eff-4b60-be3f-18b9dee7ad6a.jpg?v=1742462570,1,"",false,,,194,,adult,,,,,,,,,,,adults,,gold; silver,,sterling-silver,fine-jewelry,,,,,female,,,,,,g,,22.00,true,,,true,,,true,,,active
